,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
1,RandomForest,0.4491525423728814,0.48017465187632763,0.4497645211930926,0.3723142186704077,0.4489795918367347,0.45054945054945056,0.868421052631579,0.09192825112107623,0.5919282511210762,0.1527001862197393,0.3723142186704077,0.4497645211930926,0.48017465187632763,[8],[20],['FW'],['FW'],3
2,KNN,0.549636803874092,0.4608556182721076,0.40512820512820513,0.39854368932038836,0.5904761904761905,0.21978021978021978,0.8594059405940594,0.06230529595015576,0.7000000000000001,0.0970873786407767,0.39854368932038836,0.40512820512820513,0.4608556182721076,[8],[20],['FW'],['FW'],3
3,DecisionTree,0.5230024213075061,0.513571382480099,0.5345892203035061,0.4310936767986127,0.5197278911564626,0.5494505494505495,0.9030732860520094,0.12406947890818859,0.6597582037996546,0.20242914979757085,0.4310936767986127,0.5345892203035061,0.513571382480099,[8],[20],['FW'],['FW'],3
4,MLP,0.5520581113801453,0.493387314439946,0.48351648351648346,0.42855540181743385,0.5714285714285714,0.3956043956043956,0.8842105263157894,0.10256410256410256,0.6942148760330578,0.16289592760180993,0.42855540181743385,0.48351648351648346,0.493387314439946,[8],[20],['FW'],['FW'],3
0,SVM,0.4117647058823529,0.4733061796522577,0.4298394832768434,0.3455495999788768,0.40704738760631837,0.45263157894736844,0.8656330749354005,0.08097928436911488,0.5537190082644629,0.13738019169329072,0.3455495999788768,0.4298394832768434,0.4733061796522577,[8],[21],['FW'],['FW'],3
1,RandomForest,0.46405228758169936,0.534200439590564,0.5893585726162307,0.4073284798731871,0.4313487241798299,0.7473684210526316,0.9366754617414248,0.13172541743970315,0.5906821963394342,0.22397476340694006,0.4073284798731871,0.5893585726162307,0.534200439590564,[8],[21],['FW'],['FW'],3
2,KNN,0.5305010893246187,0.5054708349218452,0.5146831233612585,0.4251454723765936,0.534629404617254,0.49473684210526314,0.9016393442622951,0.10930232558139535,0.6712433257055682,0.17904761904761904,0.4251454723765936,0.5146831233612585,0.5054708349218452,[8],[21],['FW'],['FW'],3
3,DecisionTree,0.289760348583878,0.5381171496082577,0.5666432180085694,0.2825545992855944,0.2174969623329283,0.9157894736842105,0.9572192513368984,0.11901504787961696,0.35445544554455444,0.21065375302663436,0.2825545992855944,0.5666432180085694,0.5381171496082577,[8],[21],['FW'],['FW'],3
4,MLP,0.514161220043573,0.4968779870744385,0.49160324870499456,0.4111220421477761,0.520048602673147,0.4631578947368421,0.8935281837160751,0.10022779043280182,0.6574500768049155,0.1647940074906367,0.4111220421477761,0.49160324870499456,0.4968779870744385,[8],[21],['FW'],['FW'],3
0,SVM,0.473621103117506,0.5115787453548354,0.5235654767540953,0.41933703497528274,0.45391061452513964,0.5932203389830508,0.871313672922252,0.15184381778741865,0.5968778696051423,0.24179620034542312,0.41933703497528274,0.5235654767540953,0.5115787453548354,[8],[23],['FW'],['FW'],3
1,RandomForest,0.34652278177458035,0.5147126436781609,0.523861376763564,0.3355863921871871,0.276536312849162,0.7711864406779662,0.88,0.14942528735632185,0.4208289054197662,0.250343878954608,0.3355863921871871,0.523861376763564,0.5147126436781609,[8],[23],['FW'],['FW'],3
2,KNN,0.5323741007194245,0.4777012711864407,0.45515339456490866,0.42382092851879144,0.5628491620111732,0.3474576271186441,0.8395833333333333,0.11581920903954802,0.6739130434782609,0.17372881355932204,0.42382092851879144,0.45515339456490866,0.4777012711864407,[8],[23],['FW'],['FW'],3
3,DecisionTree,0.5347721822541966,0.5321946169772256,0.5662579301202537,0.4645636979773377,0.5223463687150838,0.6101694915254238,0.8904761904761904,0.17391304347826086,0.6584507042253521,0.2706766917293233,0.4645636979773377,0.5662579301202537,0.5321946169772256,[8],[23],['FW'],['FW'],3
4,MLP,0.5635491606714629,0.48457803970822666,0.46977085503266736,0.4413972796325737,0.6005586592178771,0.3389830508474576,0.8464566929133859,0.12269938650306748,0.7026143790849673,0.18018018018018017,0.4413972796325737,0.46977085503266736,0.48457803970822666,[8],[23],['FW'],['FW'],3
0,SVM,0.5587808417997098,0.5685049164790901,0.5744208494208494,0.5532005665625693,0.5202702702702703,0.6285714285714286,0.717391304347826,0.4196185286103542,0.6031331592689295,0.5032679738562091,0.5532005665625693,0.5744208494208494,0.5685049164790901,[8],[3],['FW'],['FP'],3
1,RandomForest,0.5370101596516691,0.5203135680109364,0.5218560397131826,0.517071284339769,0.5743243243243243,0.46938775510204084,0.6623376623376623,0.3782894736842105,0.615199034981906,0.4189435336976321,0.517071284339769,0.5218560397131826,0.5203135680109364,[8],[3],['FW'],['FP'],3
2,KNN,0.5268505079825835,0.5195651072025952,0.5212906784335356,0.5128017144146177,0.5405405405405406,0.5020408163265306,0.6629834254143646,0.3761467889908257,0.5955334987593053,0.43006993006993016,0.5128017144146177,0.5212906784335356,0.5195651072025952,[8],[3],['FW'],['FP'],3
3,DecisionTree,0.4281567489114659,0.43085689239535396,0.4245909174480603,0.4175449286805472,0.4369369369369369,0.4122448979591837,0.5739644970414202,0.28774928774928776,0.4961636828644501,0.3389261744966443,0.4175449286805472,0.4245909174480603,0.43085689239535396,[8],[3],['FW'],['FP'],3
4,MLP,0.49637155297532654,0.5157190635451505,0.5168505239933812,0.4932588675406153,0.44594594594594594,0.5877551020408164,0.6622073578595318,0.36923076923076925,0.5329744279946164,0.4535433070866142,0.4932588675406153,0.5168505239933812,0.5157190635451505,[8],[3],['FW'],['FP'],3
0,SVM,0.5521694214876033,0.5123274870615296,0.513486962152704,0.510153338273108,0.620166793025019,0.406807131280389,0.6908783783783784,0.3337765957446808,0.6536156612065522,0.366691015339664,0.510153338273108,0.513486962152704,0.5123274870615296,[8],[6],['FW'],['FP'],3
1,RandomForest,0.6410123966942148,0.563299752562743,0.5528100090560233,0.5530153161817346,0.796057619408643,0.3095623987034036,0.7113821138211383,0.4152173913043478,0.7513416815742399,0.35468895078922935,0.5530153161817346,0.5528100090560233,0.563299752562743,[8],[6],['FW'],['FP'],3
2,KNN,0.5759297520661157,0.5094506067148068,0.5093595290376409,0.5093858217065821,0.6929492039423806,0.32576985413290116,0.687218045112782,0.3316831683168317,0.690071725179313,0.32869991823385125,0.5093858217065821,0.5093595290376409,0.5094506067148068,[8],[6],['FW'],['FP'],3
3,DecisionTree,0.490702479338843,0.48676305250041907,0.48476634354153175,0.4711777560093437,0.5011372251705838,0.4683954619124797,0.6683518705763397,0.3051742344244984,0.5727902946273831,0.3695652173913043,0.4711777560093437,0.48476634354153175,0.48676305250041907,[8],[6],['FW'],['FP'],3
