,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,RandomForest,14.008707034888765,0.5649491483087787,3.0416134103983747,"[2, 5, 6, 10, 11, 13, 15, 16, 18, 19, 20, 24]","[17, 9]",RW,RW,5,42
0,RandomForest,16.956869764117137,0.4686754992738923,3.299082928767562,"[2, 5, 6, 9, 10, 11, 13, 16, 17, 18, 20, 24]","[19, 15]",RW,RW,5,42
0,RandomForest,15.082880739735836,0.5301208730717375,3.065683995071582,"[2, 5, 6, 9, 10, 15, 16, 17, 18, 19, 20, 24]","[11, 13]",RW,RW,5,42
0,RandomForest,15.221672518436625,0.5252338886330331,3.147231335096371,"[2, 5, 9, 10, 11, 13, 15, 16, 17, 18, 19, 20]","[24, 6]",RW,RW,5,42
0,RandomForest,15.52386300647015,0.516405431573872,3.223319541603544,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 17, 19, 24]","[18, 20]",RW,RW,5,42
0,KNeighbors,4.14278679826945,0.8709391741928688,0.9287316017590814,"[2, 5, 9, 10, 13, 15, 16, 17, 18, 19, 20, 24]","[6, 11]",RW,RW,5,42
0,KNeighbors,4.32333905339088,0.8598705305930443,1.0701388278733572,"[5, 6, 9, 10, 11, 15, 16, 17, 18, 19, 20, 24]","[13, 2]",RW,RW,5,42
0,KNeighbors,4.849851926683852,0.8477597930095031,1.1497910596263263,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 20, 24]","[17, 19]",RW,RW,5,42
0,KNeighbors,4.874619217717482,0.8416079218667646,1.1575540247625913,"[2, 5, 6, 9, 10, 13, 15, 16, 17, 18, 19, 20]","[11, 24]",RW,RW,5,42
0,KNeighbors,4.83879832594383,0.845872752322247,1.1076372013782927,"[5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 20, 24]","[2, 16]",RW,RW,5,42
0,SVM,27.8644510711615,0.11245088917570378,3.7045602000438325,"[5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 20, 24]","[2, 16]",RW,RW,5,42
0,SVM,27.02290249550297,0.12193886490713479,3.647112943502331,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[17, 24]",RW,RW,5,42
0,SVM,28.01898416754007,0.129849536059775,3.8213641888186256,"[2, 5, 6, 10, 13, 15, 16, 17, 18, 19, 20, 24]","[11, 9]",RW,RW,5,42
0,SVM,27.219552945446953,0.1471058290881173,3.796969319649324,"[2, 6, 9, 10, 11, 13, 16, 17, 18, 19, 20, 24]","[5, 15]",RW,RW,5,42
0,SVM,27.40584274931953,0.12726026092069975,3.556779414507675,"[2, 5, 6, 9, 11, 13, 15, 16, 17, 18, 20, 24]","[19, 10]",RW,RW,5,42
