,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,RandomForest,0.3055555555555556,0.20771046420141623,0.3055555555555555,0.24615384615384617,0.4583333333333333,0.4583333333333333,0.0,0.2682926829268293,0.3548387096774194,0.0,0.3384615384615385,0.39999999999999997,0.0,0.24615384615384617,0.3055555555555555,0.20771046420141623,"[6, 7, 8, 10, 12, 20, 23, 24, 25]","[5, 3]",LW,LW,3,42
0,RandomForest,0.3829787234042553,0.42083333333333334,0.38205645161290325,0.34806813856109625,0.5806451612903226,0.0967741935483871,0.46875,0.45,0.5,0.3125,0.5070422535211268,0.16216216216216214,0.375,0.34806813856109625,0.38205645161290325,0.42083333333333334,"[2, 3, 5, 10, 11, 13, 16, 18, 21, 23]","[15, 17]",LP,LP,4,42
0,RandomForest,0.25925925925925924,0.20000000000000004,0.25925925925925924,0.2236842105263158,0.3333333333333333,0.4444444444444444,0.0,0.2,0.4,0.0,0.25,0.4210526315789474,0.0,0.2236842105263158,0.25925925925925924,0.20000000000000004,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",LW,LW,3,42
0,RandomForest,0.32558139534883723,0.2264957264957265,0.3253968253968254,0.2611111111111111,0.6428571428571429,0.0,0.3333333333333333,0.34615384615384615,0.0,0.3333333333333333,0.45,0.0,0.3333333333333333,0.2611111111111111,0.3253968253968254,0.2264957264957265,"[2, 3, 10, 13, 15, 16, 17, 18, 21, 23]","[5, 11]",LP,LP,4,42
0,RandomForest,0.36507936507936506,0.3978835978835979,0.3650793650793651,0.35217023120248925,0.6190476190476191,0.2857142857142857,0.19047619047619047,0.37142857142857144,0.6,0.2222222222222222,0.4642857142857143,0.3870967741935483,0.20512820512820512,0.35217023120248925,0.3650793650793651,0.3978835978835979,"[2, 3, 5, 11, 13, 15, 16, 17, 18, 23]","[21, 10]",LP,LP,4,42
0,RandomForest,0.2727272727272727,0.25,0.26785714285714285,0.2583333333333333,0.42857142857142855,0.0,0.375,0.375,0.0,0.375,0.39999999999999997,0.0,0.375,0.2583333333333333,0.26785714285714285,0.25,"[2, 3, 10, 11, 13, 15, 16, 17, 21, 23]","[18, 5]",LP,LP,4,42
0,MLP,0.39490445859872614,0.3873207364341085,0.3939283986453798,0.3881523819604314,0.28846153846153844,0.34615384615384615,0.5471698113207547,0.3488372093023256,0.36,0.453125,0.3157894736842105,0.35294117647058826,0.49572649572649563,0.3881523819604314,0.3939283986453798,0.3873207364341085,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[23, 11]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.4731182795698925,0.45896464646464646,0.4731182795698925,0.44804078014184395,0.22580645161290322,0.7741935483870968,0.41935483870967744,0.4375,0.5454545454545454,0.3939393939393939,0.2978723404255319,0.64,0.40625,0.44804078014184395,0.4731182795698925,0.45896464646464646,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 15]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.3263888888888889,0.35188790013595356,0.3263888888888889,0.32346420176608853,0.22916666666666666,0.4375,0.3125,0.4583333333333333,0.3387096774193548,0.25862068965517243,0.3055555555555555,0.3818181818181818,0.28301886792452835,0.32346420176608853,0.3263888888888889,0.35188790013595356,"[2, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[10, 24]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.30357142857142855,0.29120216635041113,0.30512091038406824,0.27419843433618724,0.16216216216216217,0.6216216216216216,0.13157894736842105,0.35294117647058826,0.359375,0.16129032258064516,0.22222222222222227,0.4554455445544554,0.14492753623188406,0.27419843433618724,0.30512091038406824,0.29120216635041113,"[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 23, 24]","[19, 16]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.5185185185185185,0.5277777777777778,0.5185185185185185,0.5042874396135266,0.3888888888888889,0.3888888888888889,0.7777777777777778,0.5833333333333334,0.5,0.5,0.4666666666666666,0.43750000000000006,0.6086956521739131,0.5042874396135266,0.5185185185185185,0.5277777777777778,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[3, 20]","FW, LW, RW","FW, LW, RW",7,42
0,MLP,0.2564102564102564,0.1938375350140056,0.25641025641025644,0.2207650273224044,0.3076923076923077,0.46153846153846156,0.0,0.22857142857142856,0.35294117647058826,0.0,0.26229508196721313,0.4000000000000001,0.0,0.2207650273224044,0.25641025641025644,0.1938375350140056,"[2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]","[9, 17]","FP, LP, RP","FP, LP, RP",8,42
0,MLP,0.34,0.29760186903044045,0.339572192513369,0.3099685693959661,0.06060606060606061,0.5757575757575758,0.38235294117647056,0.1111111111111111,0.3877551020408163,0.3939393939393939,0.0784313725490196,0.4634146341463415,0.38805970149253727,0.3099685693959661,0.339572192513369,0.29760186903044045,"[2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24]","[11, 20]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.22448979591836735,0.2609365791740333,0.22474747474747478,0.23450142833639942,0.25,0.18181818181818182,0.24242424242424243,0.42105263157894735,0.13953488372093023,0.2222222222222222,0.3137254901960784,0.15789473684210528,0.2318840579710145,0.23450142833639942,0.22474747474747478,0.2609365791740333,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[3, 23]","FP, LP, RP","FP, LP, RP",8,42
0,RandomForest,0.42857142857142855,0.5708333333333333,0.43023989898989895,0.40776662950575987,0.59375,0.15151515151515152,0.5454545454545454,0.31666666666666665,0.8333333333333334,0.5625,0.41304347826086957,0.25641025641025644,0.5538461538461538,0.40776662950575987,0.43023989898989895,0.5708333333333333,"[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24]","[3, 23]","FP, LP, RP","FP, LP, RP",8,42
